mpnn,bb,seq,count,B1,B2,B3
v7,8,0,2,0,2,0
v7,8,1,4,2,2,0
v7,8,2,3,2,1,0
v7,8,3,3,1,2,0
v7,8,4,3,1,2,0
v7,8,5,2,1,1,0
v7,8,6,0,0,0,0
v7,8,7,4,2,2,0
v7,8,8,4,2,2,0
v7,8,9,6,5,1,0
v7,8,10,6,4,2,0
v7,8,11,2,0,2,0
v7,8,12,0,0,0,0
v7,8,13,5,3,2,0
v7,8,14,5,3,2,0
v7,8,15,3,2,1,0
v7,8,16,0,0,0,0
v7,8,17,4,2,2,0
v7,8,18,3,2,1,0
v7,8,19,5,3,2,0
v7,8,20,4,2,0,2
v7,8,21,2,2,0,0
v7,8,22,4,2,2,0
v7,8,23,4,3,0,1
v7,8,24,3,1,2,0
v7,9,0,0,0,0,0
v7,9,1,5,3,2,0
v7,9,2,5,3,2,0
v7,9,3,6,4,2,0
v7,9,4,1,0,1,0
v7,9,5,5,3,2,0
v7,9,6,5,3,2,0
v7,9,7,2,1,0,1
v7,9,8,6,4,2,0
v7,9,9,6,4,2,0
v7,9,10,4,2,2,0
v7,9,11,5,3,2,0
v7,9,12,6,4,2,0
v7,9,13,0,0,0,0
v7,9,14,6,4,2,0
v7,9,15,5,3,2,0
v7,9,16,4,2,2,0
v7,9,17,6,4,2,0
v7,9,18,3,2,1,0
v7,9,19,4,2,2,0
v7,9,20,5,3,2,0
v7,9,21,2,2,0,0
v7,9,22,5,3,2,0
v7,9,23,4,2,2,0
v7,9,24,4,3,1,0
v7,10,0,0,0,0,0
v7,10,1,1,1,0,0
v7,10,2,3,2,1,0
v7,10,3,2,1,1,0
v7,10,4,1,1,0,0
v7,10,5,0,0,0,0
v7,10,6,1,1,0,0
v7,10,7,1,0,1,0
v7,10,8,1,1,0,0
v7,10,9,0,0,0,0
v7,10,10,1,1,0,0
v7,10,11,0,0,0,0
v7,10,12,0,0,0,0
v7,10,13,0,0,0,0
v7,10,14,2,1,1,0
v7,10,15,0,0,0,0
v7,10,16,2,1,1,0
v7,10,17,0,0,0,0
v7,10,18,1,0,1,0
v7,10,19,1,0,1,0
v7,10,20,1,0,1,0
v7,10,21,0,0,0,0
v7,10,22,1,1,0,0
