mpnn,bb,seq,count,B1,B2,B3
diff,86,0,5,3,2,0
diff,86,1,3,1,2,0
diff,86,2,4,2,2,0
diff,86,3,5,3,2,0
diff,86,4,5,3,2,0
diff,86,5,3,1,2,0
diff,86,6,5,3,2,0
diff,86,7,5,3,2,0
diff,86,8,4,2,2,0
diff,86,9,2,0,0,2
diff,86,10,1,1,0,0
diff,86,11,5,3,2,0
diff,86,12,4,2,2,0
diff,86,13,3,1,2,0
diff,86,14,5,3,2,0
diff,86,15,5,3,2,0
diff,86,16,5,3,2,0
diff,86,17,3,1,2,0
diff,86,18,5,3,2,0
diff,86,19,4,2,2,0
diff,86,20,3,1,2,0
diff,86,21,5,3,2,0
diff,86,22,4,2,2,0
diff,86,23,3,1,2,0
diff,86,24,1,1,0,0
diff,86,25,5,3,2,0
diff,86,26,2,2,0,0
diff,86,27,4,2,2,0
diff,86,28,5,3,2,0
diff,86,29,3,1,2,0
diff,87,0,2,0,2,0
diff,87,1,5,3,2,0
diff,87,2,1,1,0,0
diff,87,3,3,1,2,0
diff,87,4,5,3,2,0
diff,87,5,0,0,0,0
diff,87,6,1,0,0,1
diff,87,7,0,0,0,0
diff,87,8,0,0,0,0
diff,87,9,0,0,0,0
diff,87,10,0,0,0,0
diff,87,11,5,3,2,0
diff,87,12,5,3,2,0
diff,87,13,5,3,2,0
diff,87,14,2,1,0,1
diff,87,15,0,0,0,0
diff,87,16,1,1,0,0
diff,87,17,4,2,2,0
diff,87,18,4,2,2,0
diff,87,19,4,2,2,0
diff,87,20,0,0,0,0
diff,87,21,1,0,0,1
diff,87,22,2,1,1,0
diff,87,23,1,1,0,0
diff,87,24,1,0,1,0
diff,87,25,4,2,2,0
diff,87,26,0,0,0,0
diff,87,27,3,1,2,0
diff,87,28,4,2,2,0
diff,87,29,4,2,2,0
diff,88,0,0,0,0,0
diff,88,1,2,1,0,1
diff,88,2,1,1,0,0
diff,88,3,3,1,2,0
diff,88,4,0,0,0,0
diff,88,5,2,2,0,0
diff,88,6,0,0,0,0
diff,88,7,4,2,2,0
diff,88,8,2,2,0,0
diff,88,9,0,0,0,0
diff,88,10,0,0,0,0
diff,88,11,1,1,0,0
diff,88,12,2,1,0,1
diff,88,13,0,0,0,0
diff,88,14,1,1,0,0
diff,88,15,0,0,0,0
diff,88,16,1,1,0,0
diff,88,17,2,1,0,1
diff,88,18,0,0,0,0
diff,88,19,3,2,1,0
diff,88,20,0,0,0,0
diff,88,21,2,1,0,1
diff,88,22,1,0,0,1
diff,88,23,0,0,0,0
diff,88,24,2,2,0,0
diff,88,25,0,0,0,0
diff,88,26,0,0,0,0
diff,88,27,1,1,0,0
diff,88,28,0,0,0,0
diff,88,29,1,1,0,0
diff,89,0,1,0,0,1
diff,89,1,2,0,2,0
diff,89,2,4,3,0,1
diff,89,3,1,1,0,0
diff,89,4,5,3,2,0
diff,89,5,0,0,0,0
diff,89,6,2,2,0,0
diff,89,7,3,3,0,0
diff,89,8,1,1,0,0
diff,89,9,0,0,0,0
diff,89,10,0,0,0,0
diff,89,11,2,2,0,0
diff,89,12,1,0,1,0
diff,89,13,2,0,2,0
diff,89,14,1,1,0,0
diff,89,15,5,3,2,0
diff,89,16,5,3,2,0
diff,89,17,2,1,1,0
diff,89,18,0,0,0,0
diff,89,19,1,1,0,0
diff,89,20,4,3,0,1
diff,89,21,1,1,0,0
diff,89,22,4,2,2,0
diff,89,23,1,0,1,0
diff,89,24,1,1,0,0
diff,89,25,1,1,0,0
diff,89,26,0,0,0,0
diff,89,27,2,1,0,1
diff,89,28,4,3,1,0
diff,89,29,1,1,0,0
diff,90,0,4,3,1,0
diff,90,1,0,0,0,0
diff,90,2,3,2,1,0
diff,90,3,3,2,1,0
diff,90,4,4,3,0,1
diff,90,5,4,3,1,0
diff,90,6,3,3,0,0
diff,90,7,0,0,0,0
diff,90,8,3,2,1,0
