mpnn,bb,seq,count,B1,B2,B3
v8,1,0,1,1,0,0
v8,1,1,2,2,0,0
v8,1,2,2,2,0,0
v8,1,3,1,1,0,0
v8,1,4,0,0,0,0
v8,1,5,0,0,0,0
v8,1,6,2,0,1,1
v8,1,7,1,0,0,1
v8,1,8,1,1,0,0
v8,1,9,2,1,0,1
v8,2,0,2,1,1,0
v8,2,1,0,0,0,0
v8,2,2,2,1,1,0
v8,2,3,2,0,2,0
v8,2,4,1,1,0,0
v8,2,5,3,2,0,1
v8,2,6,1,0,0,1
v8,2,7,1,1,0,0
v8,2,8,2,2,0,0
v8,2,9,0,0,0,0
v8,3,0,1,1,0,0
v8,3,1,1,1,0,0
v8,3,2,1,0,0,1
v8,3,3,2,0,2,0
v8,3,4,0,0,0,0
v8,3,5,0,0,0,0
v8,3,6,2,1,0,1
v8,3,7,2,2,0,0
v8,3,8,0,0,0,0
v8,3,9,1,1,0,0
v8,4,0,1,1,0,0
v8,4,1,0,0,0,0
v8,4,2,0,0,0,0
v8,4,3,1,1,0,0
v8,4,4,3,2,0,1
v8,4,5,0,0,0,0
v8,4,6,0,0,0,0
v8,4,7,0,0,0,0
v8,4,8,1,0,1,0
v8,4,9,1,0,0,1
v8,5,0,0,0,0,0
v8,5,1,0,0,0,0
v8,5,2,3,0,3,0
v8,5,3,0,0,0,0
v8,5,4,0,0,0,0
v8,5,5,0,0,0,0
v8,5,6,0,0,0,0
v8,5,7,0,0,0,0
v8,5,8,0,0,0,0
v8,5,9,0,0,0,0
v8,6,0,0,0,0,0
v8,6,1,0,0,0,0
v8,6,2,0,0,0,0
v8,6,3,0,0,0,0
v8,6,4,0,0,0,0
v8,6,5,1,0,0,1
v8,6,6,3,3,0,0
v8,6,7,3,2,1,0
v8,6,8,0,0,0,0
v8,6,9,3,0,2,1
v8,7,0,1,1,0,0
v8,7,1,0,0,0,0
v8,7,2,1,1,0,0
v8,7,3,5,4,1,0
v8,7,4,0,0,0,0
v8,7,5,0,0,0,0
v8,7,6,2,0,2,0
v8,7,7,1,1,0,0
v8,7,8,1,1,0,0
v8,7,9,1,0,1,0
v8,8,0,1,1,0,0
v8,8,1,2,1,0,1
v8,8,2,0,0,0,0
v8,8,3,0,0,0,0
v8,8,4,1,1,0,0
v8,8,5,2,2,0,0
v8,8,6,1,1,0,0
v8,8,7,3,3,0,0
v8,8,8,1,1,0,0
v8,8,9,4,2,2,0
v8,9,0,0,0,0,0
v8,9,1,1,0,0,1
v8,9,2,0,0,0,0
v8,9,3,0,0,0,0
v8,9,4,3,1,2,0
v8,9,5,0,0,0,0
v8,9,6,3,1,2,0
v8,9,7,0,0,0,0
v8,9,8,0,0,0,0
v8,9,9,1,0,1,0
v8,10,0,1,1,0,0
v8,10,1,0,0,0,0
v8,10,2,3,2,1,0
v8,10,3,1,0,0,1
v8,10,4,1,1,0,0
v8,10,5,1,1,0,0
v8,10,6,0,0,0,0
v8,10,7,2,1,0,1
v8,10,8,1,1,0,0
v8,10,9,2,1,1,0
v8,11,0,0,0,0,0
v8,11,1,1,1,0,0
v8,11,2,1,0,1,0
v8,11,3,0,0,0,0
v8,11,4,2,0,2,0
v8,11,5,1,0,0,1
v8,11,6,0,0,0,0
v8,11,7,0,0,0,0
v8,11,8,0,0,0,0
v8,11,9,0,0,0,0
v8,12,0,0,0,0,0
v8,12,1,1,1,0,0
v8,12,2,0,0,0,0
v8,12,3,0,0,0,0
v8,12,4,2,1,0,1
v8,12,5,0,0,0,0
v8,12,6,1,1,0,0
v8,12,7,2,0,1,1
v8,12,8,1,0,0,1
v8,12,9,0,0,0,0
v8,13,0,2,2,0,0
v8,13,1,1,1,0,0
v8,13,2,0,0,0,0
v8,13,3,0,0,0,0
v8,13,4,0,0,0,0
v8,13,5,1,0,0,1
v8,13,6,0,0,0,0
v8,13,7,0,0,0,0
v8,13,8,0,0,0,0
v8,13,9,0,0,0,0
v8,14,0,1,1,0,0
v8,14,1,0,0,0,0
v8,14,2,3,3,0,0
v8,14,3,0,0,0,0
v8,14,4,0,0,0,0
v8,14,5,1,0,1,0
v8,14,6,2,1,0,1
v8,14,7,4,2,0,2
v8,14,8,1,0,1,0
v8,14,9,5,3,0,2
v8,15,0,3,2,0,1
v8,15,1,1,0,1,0
v8,15,2,1,0,0,1
v8,15,3,0,0,0,0
v8,15,4,0,0,0,0
v8,15,5,0,0,0,0
v8,15,6,0,0,0,0
v8,15,7,1,0,1,0
v8,15,8,0,0,0,0
v8,15,9,0,0,0,0
v8,16,0,0,0,0,0
v8,16,1,1,0,0,1
v8,16,2,1,1,0,0
v8,16,3,1,1,0,0
v8,16,4,0,0,0,0
v8,16,5,0,0,0,0
v8,16,6,1,1,0,0
v8,16,7,0,0,0,0
v8,16,8,0,0,0,0
v8,16,9,1,0,1,0
v8,17,0,2,2,0,0
v8,17,1,0,0,0,0
v8,17,2,1,1,0,0
v8,17,3,1,1,0,0
v8,17,4,1,0,0,1
v8,17,5,0,0,0,0
v8,17,6,0,0,0,0
v8,17,7,0,0,0,0
v8,17,8,0,0,0,0
v8,17,9,0,0,0,0
v8,18,0,1,1,0,0
v8,18,1,1,0,0,1
v8,18,2,0,0,0,0
v8,18,3,2,2,0,0
v8,18,4,0,0,0,0
v8,18,5,0,0,0,0
v8,18,6,1,0,0,1
v8,18,7,1,1,0,0
v8,18,8,0,0,0,0
v8,18,9,1,1,0,0
v8,19,0,0,0,0,0
v8,19,1,0,0,0,0
v8,19,2,1,1,0,0
v8,19,3,1,0,0,1
v8,19,4,0,0,0,0
v8,19,5,2,1,1,0
v8,19,6,2,1,1,0
v8,19,7,0,0,0,0
v8,19,8,1,1,0,0
v8,19,9,2,1,0,1
v8,20,0,0,0,0,0
v8,20,1,0,0,0,0
v8,20,2,1,0,1,0
v8,20,3,1,1,0,0
v8,20,4,1,1,0,0
v8,20,5,1,1,0,0
v8,20,6,0,0,0,0
v8,20,7,0,0,0,0
v8,20,8,1,1,0,0
v8,20,9,0,0,0,0
v8,21,0,0,0,0,0
v8,21,1,0,0,0,0
v8,21,2,1,0,1,0
v8,21,3,0,0,0,0
v8,21,4,0,0,0,0
v8,21,5,1,1,0,0
v8,21,6,0,0,0,0
v8,21,7,1,0,1,0
v8,21,8,1,0,1,0
v8,21,9,2,1,0,1
v8,22,0,1,1,0,0
v8,22,1,2,2,0,0
v8,22,2,0,0,0,0
v8,22,3,4,2,2,0
v8,22,4,2,1,1,0
v8,22,5,2,1,0,1
v8,22,6,0,0,0,0
v8,22,7,4,3,0,1
v8,22,8,0,0,0,0
v8,22,9,0,0,0,0
v8,23,0,1,0,1,0
v8,23,1,2,1,1,0
v8,23,2,0,0,0,0
v8,23,3,0,0,0,0
v8,23,4,0,0,0,0
v8,23,5,1,0,0,1
v8,23,6,1,0,1,0
v8,23,7,1,1,0,0
v8,23,8,1,1,0,0
v8,23,9,0,0,0,0
v8,24,0,0,0,0,0
v8,24,1,0,0,0,0
v8,24,2,1,1,0,0
v8,24,3,0,0,0,0
v8,24,4,0,0,0,0
v8,24,5,0,0,0,0
v8,24,6,0,0,0,0
v8,24,7,3,1,1,1
v8,24,8,1,1,0,0
v8,24,9,1,1,0,0
v8,25,0,0,0,0,0
v8,25,1,1,1,0,0
v8,25,2,0,0,0,0
v8,25,3,0,0,0,0
v8,25,4,0,0,0,0
v8,25,5,1,1,0,0
v8,25,6,1,0,0,1
v8,25,7,0,0,0,0
v8,25,8,1,1,0,0
v8,25,9,0,0,0,0
v8,26,0,1,0,0,1
v8,26,1,1,0,0,1
v8,26,2,1,1,0,0
v8,26,3,1,0,0,1
v8,26,4,1,0,1,0
v8,26,5,1,0,1,0
v8,26,6,0,0,0,0
v8,26,7,0,0,0,0
v8,26,8,0,0,0,0
v8,26,9,1,1,0,0
v8,27,0,0,0,0,0
v8,27,1,1,1,0,0
v8,27,2,1,0,0,1
v8,27,3,0,0,0,0
v8,27,4,4,3,0,1
v8,27,5,1,0,1,0
v8,27,6,3,1,2,0
v8,27,7,1,0,1,0
v8,27,8,0,0,0,0
v8,27,9,1,0,0,1
v8,28,0,0,0,0,0
v8,28,1,1,0,0,1
v8,28,2,0,0,0,0
v8,28,3,1,0,0,1
v8,28,4,0,0,0,0
v8,28,5,0,0,0,0
v8,28,6,0,0,0,0
v8,28,7,3,0,2,1
v8,28,8,1,1,0,0
v8,28,9,3,2,0,1
v8,29,0,1,1,0,0
v8,29,1,3,2,0,1
