mpnn,bb,seq,count,B1,B2,B3
v2,1,0,0,0,0,0
v2,1,1,0,0,0,0
v2,1,2,0,0,0,0
v2,1,3,0,0,0,0
v2,1,4,0,0,0,0
v2,1,5,0,0,0,0
v2,1,6,1,1,0,0
v2,1,7,0,0,0,0
v2,1,8,0,0,0,0
v2,1,9,0,0,0,0
v2,2,0,0,0,0,0
v2,2,1,0,0,0,0
v2,2,2,1,1,0,0
v2,2,3,1,1,0,0
v2,2,4,0,0,0,0
v2,2,5,0,0,0,0
v2,2,6,0,0,0,0
v2,2,7,0,0,0,0
v2,2,8,0,0,0,0
v2,2,9,1,1,0,0
v2,3,0,0,0,0,0
v2,3,1,0,0,0,0
v2,3,2,1,1,0,0
v2,3,3,1,1,0,0
v2,3,4,1,1,0,0
v2,3,5,0,0,0,0
v2,3,6,2,2,0,0
v2,3,7,2,2,0,0
v2,3,8,0,0,0,0
v2,3,9,0,0,0,0
v2,4,0,0,0,0,0
v2,4,1,2,2,0,0
v2,4,2,0,0,0,0
v2,4,3,0,0,0,0
v2,4,4,0,0,0,0
v2,4,5,0,0,0,0
v2,4,6,0,0,0,0
v2,4,7,0,0,0,0
v2,4,8,2,2,0,0
v2,4,9,0,0,0,0
v2,5,0,0,0,0,0
v2,5,1,0,0,0,0
v2,5,2,0,0,0,0
v2,5,3,2,2,0,0
v2,5,4,0,0,0,0
v2,5,5,0,0,0,0
v2,5,6,0,0,0,0
v2,5,7,0,0,0,0
v2,5,8,0,0,0,0
v2,5,9,1,1,0,0
v2,6,0,1,1,0,0
v2,6,1,0,0,0,0
v2,6,2,0,0,0,0
v2,6,3,0,0,0,0
v2,6,4,0,0,0,0
v2,6,5,0,0,0,0
v2,6,6,1,1,0,0
v2,6,7,1,1,0,0
v2,6,8,1,1,0,0
v2,6,9,0,0,0,0
v2,7,0,2,2,0,0
v2,7,1,0,0,0,0
v2,7,2,1,1,0,0
v2,7,3,1,1,0,0
v2,7,4,0,0,0,0
v2,7,5,0,0,0,0
v2,7,6,0,0,0,0
v2,7,7,0,0,0,0
v2,7,8,0,0,0,0
v2,7,9,0,0,0,0
v2,8,0,0,0,0,0
v2,8,1,0,0,0,0
v2,8,2,0,0,0,0
v2,8,3,0,0,0,0
v2,8,4,0,0,0,0
v2,8,5,0,0,0,0
v2,8,6,0,0,0,0
v2,8,7,1,1,0,0
v2,8,8,0,0,0,0
v2,8,9,0,0,0,0
v2,9,0,0,0,0,0
v2,9,1,0,0,0,0
v2,9,2,0,0,0,0
v2,9,3,0,0,0,0
v2,9,4,0,0,0,0
v2,9,5,0,0,0,0
v2,9,6,0,0,0,0
v2,9,7,0,0,0,0
v2,9,8,0,0,0,0
v2,9,9,1,1,0,0
v2,10,0,1,1,0,0
v2,10,1,1,1,0,0
v2,10,2,0,0,0,0
v2,10,3,0,0,0,0
v2,10,4,1,1,0,0
