mpnn,bb,seq,count,B1,B2,B3
v7,36,0,5,3,2,0
v7,36,1,1,0,1,0
v7,36,2,2,0,2,0
v7,36,3,4,1,2,1
v7,36,4,4,3,1,0
v7,36,5,1,0,0,1
v7,36,6,0,0,0,0
v7,36,7,1,1,0,0
v7,36,8,2,1,0,1
v7,36,9,1,0,1,0
v7,36,10,4,2,2,0
v7,36,11,1,1,0,0
v7,36,12,3,3,0,0
v7,36,13,3,2,1,0
v7,36,14,6,4,2,0
v7,36,15,0,0,0,0
v7,36,16,0,0,0,0
v7,36,17,2,2,0,0
v7,36,18,2,1,0,1
v7,36,19,4,2,2,0
v7,36,20,0,0,0,0
v7,36,21,4,2,2,0
v7,36,22,0,0,0,0
v7,36,23,5,3,2,0
v7,36,24,4,2,2,0
v7,36,25,2,1,1,0
v7,36,26,2,0,2,0
v7,36,27,3,1,2,0
v7,36,28,3,1,2,0
v7,36,29,4,2,2,0
v7,37,0,1,1,0,0
v7,37,1,2,1,1,0
v7,37,2,0,0,0,0
v7,37,3,0,0,0,0
v7,37,4,0,0,0,0
v7,37,5,2,1,1,0
v7,37,6,2,1,1,0
v7,37,7,2,2,0,0
v7,37,8,0,0,0,0
v7,37,9,0,0,0,0
v7,37,10,1,0,1,0
v7,37,11,5,3,2,0
v7,37,12,2,1,1,0
v7,37,13,2,1,1,0
v7,37,14,3,2,1,0
v7,37,15,4,2,2,0
v7,37,16,0,0,0,0
v7,37,17,0,0,0,0
v7,37,18,0,0,0,0
v7,37,19,0,0,0,0
v7,37,20,1,1,0,0
v7,37,21,0,0,0,0
v7,37,22,0,0,0,0
v7,37,23,1,1,0,0
v7,37,24,5,2,2,1
v7,37,25,1,0,1,0
v7,37,26,2,1,1,0
v7,37,27,2,2,0,0
v7,37,28,0,0,0,0
v7,37,29,3,3,0,0
v7,38,0,0,0,0,0
v7,38,1,0,0,0,0
v7,38,2,4,2,0,2
v7,38,3,2,2,0,0
v7,38,4,2,0,2,0
v7,38,5,1,1,0,0
v7,38,6,2,2,0,0
v7,38,7,0,0,0,0
v7,38,8,1,1,0,0
v7,38,9,1,0,1,0
v7,38,10,0,0,0,0
v7,38,11,2,1,1,0
v7,38,12,1,1,0,0
v7,38,13,1,1,0,0
v7,38,14,5,3,2,0
v7,38,15,0,0,0,0
v7,38,16,2,2,0,0
v7,38,17,3,1,2,0
v7,38,18,5,3,2,0
v7,38,19,3,2,0,1
v7,38,20,4,4,0,0
v7,38,21,2,2,0,0
v7,38,22,2,1,1,0
v7,38,23,4,2,2,0
v7,38,24,5,3,1,1
v7,38,25,2,2,0,0
v7,38,26,2,1,1,0
v7,38,27,1,1,0,0
v7,38,28,2,0,1,1
v7,38,29,3,2,1,0
v7,39,0,0,0,0,0
v7,39,1,1,1,0,0
v7,39,2,3,1,2,0
v7,39,3,4,4,0,0
v7,39,4,0,0,0,0
v7,39,5,2,2,0,0
v7,39,6,1,1,0,0
v7,39,7,4,2,2,0
v7,39,8,1,1,0,0
v7,39,9,4,2,2,0
v7,39,10,2,1,0,1
v7,39,11,4,2,2,0
v7,39,12,5,5,0,0
v7,39,13,1,1,0,0
v7,39,14,1,0,1,0
v7,39,15,0,0,0,0
v7,39,16,4,2,1,1
v7,39,17,1,0,0,1
v7,39,18,3,1,1,1
v7,39,19,1,1,0,0
v7,39,20,1,0,1,0
v7,39,21,0,0,0,0
v7,39,22,3,3,0,0
v7,39,23,2,1,0,1
v7,39,24,1,1,0,0
v7,39,25,0,0,0,0
v7,39,26,3,3,0,0
v7,39,27,1,1,0,0
v7,39,28,0,0,0,0
v7,39,29,0,0,0,0
v7,40,0,1,1,0,0
v7,40,1,2,2,0,0
v7,40,2,1,1,0,0
v7,40,3,2,2,0,0
v7,40,4,0,0,0,0
v7,40,5,2,1,1,0
v7,40,6,0,0,0,0
v7,40,7,1,1,0,0
v7,40,8,2,0,1,1
v7,40,9,2,0,2,0
v7,40,10,1,1,0,0
v7,40,11,5,3,1,1
v7,40,12,0,0,0,0
v7,40,13,3,1,1,1
v7,40,14,2,0,2,0
v7,40,15,0,0,0,0
v7,40,16,0,0,0,0
v7,40,17,2,1,0,1
v7,40,18,2,2,0,0
v7,40,19,2,1,1,0
v7,40,20,2,2,0,0
v7,40,21,0,0,0,0
v7,40,22,1,1,0,0
v7,40,23,1,0,1,0
v7,40,24,2,1,1,0
v7,40,25,2,1,1,0
v7,40,26,2,2,0,0
v7,40,27,1,1,0,0
v7,40,28,0,0,0,0
v7,40,29,1,0,1,0
v7,41,0,4,3,1,0
v7,41,1,1,0,1,0
v7,41,2,0,0,0,0
v7,41,3,0,0,0,0
v7,41,4,4,3,1,0
v7,41,5,4,3,1,0
v7,41,6,2,1,1,0
v7,41,7,2,1,1,0
v7,41,8,0,0,0,0
v7,41,9,1,1,0,0
v7,41,10,2,2,0,0
v7,41,11,1,0,0,1
v7,41,12,0,0,0,0
v7,41,13,1,1,0,0
v7,41,14,1,1,0,0
v7,41,15,2,1,0,1
v7,41,16,0,0,0,0
v7,41,17,0,0,0,0
v7,41,18,1,1,0,0
v7,41,19,4,1,1,2
v7,41,20,0,0,0,0
v7,41,21,3,1,2,0
v7,41,22,2,0,0,2
v7,41,23,0,0,0,0
v7,41,24,1,0,1,0
v7,41,25,2,2,0,0
v7,41,26,2,0,1,1
v7,41,27,3,2,1,0
v7,41,28,1,1,0,0
v7,41,29,3,2,0,1
v7,42,0,4,3,1,0
v7,42,1,0,0,0,0
v7,42,2,0,0,0,0
v7,42,3,1,0,1,0
v7,42,4,1,1,0,0
v7,42,5,1,1,0,0
v7,42,6,2,1,0,1
v7,42,7,5,4,1,0
v7,42,8,2,2,0,0
v7,42,9,4,3,1,0
v7,42,10,5,4,1,0
v7,42,11,3,2,1,0
v7,42,12,1,1,0,0
v7,42,13,1,1,0,0
v7,42,14,1,1,0,0
v7,42,15,4,3,1,0
v7,42,16,2,2,0,0
v7,42,17,1,0,0,1
v7,42,18,1,1,0,0
v7,42,19,1,0,1,0
v7,42,20,0,0,0,0
v7,42,21,0,0,0,0
v7,42,22,1,1,0,0
v7,42,23,2,1,0,1
v7,42,24,3,2,0,1
v7,42,25,1,1,0,0
v7,42,26,2,1,1,0
v7,42,27,1,1,0,0
v7,42,28,1,1,0,0
v7,42,29,2,1,1,0
v7,43,0,1,0,0,1
v7,43,1,0,0,0,0
v7,43,2,0,0,0,0
v7,43,3,1,1,0,0
v7,43,4,4,2,2,0
v7,43,5,3,1,2,0
v7,43,6,0,0,0,0
v7,43,7,2,0,2,0
v7,43,8,1,1,0,0
v7,43,9,1,0,1,0
v7,43,10,0,0,0,0
v7,43,11,2,0,2,0
v7,43,12,1,1,0,0
v7,43,13,3,2,1,0
v7,43,14,3,1,2,0
v7,43,15,6,4,2,0
v7,43,16,2,1,1,0
v7,43,17,0,0,0,0
v7,43,18,0,0,0,0
v7,43,19,0,0,0,0
v7,43,20,2,1,0,1
v7,43,21,0,0,0,0
v7,43,22,0,0,0,0
v7,43,23,1,1,0,0
v7,43,24,4,2,2,0
v7,43,25,1,1,0,0
v7,43,26,0,0,0,0
v7,43,27,1,1,0,0
v7,43,28,1,1,0,0
v7,43,29,1,1,0,0
v7,44,0,1,1,0,0
v7,44,1,5,3,2,0
v7,44,2,1,0,1,0
v7,44,3,1,1,0,0
v7,44,4,1,1,0,0
v7,44,5,5,3,2,0
v7,44,6,0,0,0,0
v7,44,7,0,0,0,0
v7,44,8,1,0,1,0
v7,44,9,0,0,0,0
v7,44,10,1,0,1,0
v7,44,11,1,1,0,0
v7,44,12,2,1,1,0
v7,44,13,0,0,0,0
v7,44,14,0,0,0,0
v7,44,15,0,0,0,0
v7,44,16,1,0,0,1
v7,44,17,1,0,0,1
v7,44,18,5,3,2,0
v7,44,19,2,0,1,1
v7,44,20,0,0,0,0
v7,44,21,4,3,1,0
v7,44,22,3,1,2,0
v7,44,23,1,1,0,0
v7,44,24,1,1,0,0
v7,44,25,2,2,0,0
v7,44,26,5,3,2,0
v7,44,27,0,0,0,0
v7,44,28,5,3,2,0
v7,44,29,0,0,0,0
v7,45,0,0,0,0,0
v7,45,1,0,0,0,0
v7,45,2,0,0,0,0
v7,45,3,0,0,0,0
v7,45,4,2,1,1,0
v7,45,5,0,0,0,0
v7,45,6,2,2,0,0
v7,45,7,0,0,0,0
v7,45,8,0,0,0,0
v7,45,9,2,2,0,0
v7,45,10,0,0,0,0
v7,45,11,1,1,0,0
v7,45,12,0,0,0,0
v7,45,13,2,1,0,1
v7,45,14,0,0,0,0
v7,45,15,4,3,1,0
v7,45,16,0,0,0,0
v7,45,17,1,1,0,0
v7,45,18,2,2,0,0
v7,45,19,1,1,0,0
v7,45,20,1,0,1,0
v7,45,21,0,0,0,0
v7,45,22,0,0,0,0
v7,45,23,0,0,0,0
v7,45,24,1,1,0,0
v7,45,25,0,0,0,0
v7,45,26,2,2,0,0
v7,45,27,0,0,0,0
v7,45,28,0,0,0,0
v7,45,29,0,0,0,0
v7,46,0,3,2,1,0
v7,46,1,2,1,1,0
v7,46,2,2,0,2,0
v7,46,3,1,0,1,0
v7,46,4,1,1,0,0
v7,46,5,3,1,2,0
v7,46,6,0,0,0,0
v7,46,7,4,3,1,0
v7,46,8,4,3,1,0
v7,46,9,3,2,1,0
v7,46,10,5,4,1,0
v7,46,11,3,2,1,0
v7,46,12,2,1,1,0
v7,46,13,2,1,1,0
v7,46,14,3,2,1,0
v7,46,15,4,3,1,0
v7,46,16,1,1,0,0
v7,46,17,1,0,1,0
v7,46,18,3,2,1,0
v7,46,19,3,2,1,0
v7,46,20,2,1,1,0
v7,46,21,3,1,2,0
v7,46,22,5,3,2,0
v7,46,23,2,2,0,0
v7,46,24,3,2,1,0
v7,46,25,2,2,0,0
v7,46,26,3,1,2,0
v7,46,27,0,0,0,0
v7,46,28,2,1,1,0
v7,46,29,5,3,2,0
v7,47,0,2,0,1,1
v7,47,1,0,0,0,0
v7,47,2,1,0,0,1
v7,47,3,0,0,0,0
v7,47,4,2,1,1,0
v7,47,5,0,0,0,0
v7,47,6,2,2,0,0
v7,47,7,1,0,1,0
v7,47,8,0,0,0,0
v7,47,9,2,2,0,0
v7,47,10,2,1,1,0
v7,47,11,3,2,1,0
v7,47,12,0,0,0,0
v7,47,13,1,0,1,0
v7,47,14,1,1,0,0
v7,47,15,0,0,0,0
v7,47,16,0,0,0,0
v7,47,17,0,0,0,0
v7,47,18,0,0,0,0
v7,47,19,1,1,0,0
v7,47,20,1,1,0,0
v7,47,21,0,0,0,0
v7,47,22,4,3,1,0
v7,47,23,4,2,2,0
v7,47,24,0,0,0,0
v7,47,25,0,0,0,0
v7,47,26,0,0,0,0
v7,47,27,0,0,0,0
v7,47,28,0,0,0,0
v7,47,29,1,0,1,0
v7,48,0,0,0,0,0
v7,48,1,2,0,2,0
v7,48,2,0,0,0,0
v7,48,3,4,3,0,1
v7,48,4,0,0,0,0
v7,48,5,0,0,0,0
v7,48,6,2,0,2,0
v7,48,7,0,0,0,0
v7,48,8,2,0,2,0
v7,48,9,0,0,0,0
v7,48,10,2,1,0,1
v7,48,11,3,1,2,0
v7,48,12,0,0,0,0
v7,48,13,2,1,1,0
v7,48,14,2,1,1,0
v7,48,15,0,0,0,0
v7,48,16,3,2,1,0
v7,48,17,3,3,0,0
v7,48,18,2,1,1,0
v7,48,19,4,3,1,0
v7,48,20,2,1,1,0
v7,48,21,1,0,0,1
v7,48,22,1,1,0,0
v7,48,23,0,0,0,0
v7,48,24,1,1,0,0
v7,48,25,4,2,0,2
v7,48,26,2,1,0,1
v7,48,27,2,1,1,0
v7,48,28,2,2,0,0
v7,48,29,0,0,0,0
v7,49,0,2,0,2,0
v7,49,1,1,0,1,0
v7,49,2,3,1,2,0
v7,49,3,2,0,2,0
v7,49,4,4,2,2,0
v7,49,5,4,2,2,0
v7,49,6,3,0,3,0
v7,49,7,1,0,1,0
v7,49,8,3,1,2,0
v7,49,9,3,1,2,0
v7,49,10,3,1,2,0
v7,49,11,2,1,0,1
v7,49,12,2,0,2,0
v7,49,13,1,1,0,0
v7,49,14,2,2,0,0
v7,49,15,2,1,1,0
v7,49,16,4,2,2,0
v7,49,17,1,0,1,0
v7,49,18,1,0,1,0
v7,49,19,3,1,2,0
v7,49,20,2,2,0,0
v7,49,21,1,1,0,0
v7,49,22,2,0,2,0
v7,49,23,5,3,2,0
v7,49,24,2,0,2,0
v7,49,25,3,1,2,0
v7,49,26,3,2,1,0
v7,49,27,3,1,2,0
v7,49,28,4,2,2,0
v7,49,29,2,1,1,0
v7,50,0,5,3,2,0
v7,50,1,4,2,2,0
v7,50,2,0,0,0,0
v7,50,3,0,0,0,0
v7,50,4,3,1,2,0
v7,50,5,3,2,0,1
v7,50,6,1,0,0,1
v7,50,7,1,0,1,0
v7,50,8,0,0,0,0
v7,50,9,0,0,0,0
v7,50,10,4,2,2,0
v7,50,11,3,3,0,0
v7,50,12,6,4,2,0
v7,50,13,4,2,2,0
v7,50,14,1,1,0,0
v7,50,15,1,1,0,0
v7,50,16,0,0,0,0
v7,50,17,4,2,2,0
v7,50,18,0,0,0,0
v7,50,19,2,1,0,1
v7,50,20,0,0,0,0
v7,50,21,3,1,2,0
v7,50,22,1,1,0,0
v7,50,23,2,1,1,0
v7,50,24,4,2,2,0
v7,50,25,3,2,1,0
v7,50,26,0,0,0,0
v7,50,27,1,0,1,0
v7,50,28,4,2,2,0
v7,50,29,4,2,2,0
v7,51,0,0,0,0,0
v7,51,1,3,2,1,0
v7,51,2,2,1,1,0
v7,51,3,4,3,1,0
v7,51,4,2,2,0,0
v7,51,5,1,1,0,0
v7,51,6,1,1,0,0
v7,51,7,1,0,0,1
v7,51,8,1,1,0,0
v7,51,9,3,2,0,1
v7,51,10,1,1,0,0
v7,51,11,2,2,0,0
v7,51,12,0,0,0,0
v7,51,13,2,0,2,0
v7,51,14,3,2,1,0
v7,51,15,1,1,0,0
v7,51,16,0,0,0,0
v7,51,17,2,2,0,0
v7,51,18,2,1,1,0
v7,51,19,0,0,0,0
v7,51,20,0,0,0,0
v7,51,21,2,1,1,0
v7,51,22,3,2,1,0
v7,51,23,0,0,0,0
v7,51,24,1,1,0,0
v7,51,25,3,2,0,1
v7,51,26,1,1,0,0
v7,51,27,1,0,0,1
v7,51,28,0,0,0,0
v7,51,29,1,1,0,0
v7,52,0,6,4,2,0
v7,52,1,4,2,2,0
v7,52,2,3,3,0,0
v7,52,3,4,2,2,0
v7,52,4,2,1,1,0
v7,52,5,4,2,2,0
v7,52,6,4,2,2,0
v7,52,7,5,3,2,0
v7,52,8,5,3,2,0
v7,52,9,5,3,2,0
v7,52,10,5,3,2,0
v7,52,11,4,2,2,0
v7,52,12,1,1,0,0
v7,52,13,3,2,1,0
v7,52,14,4,2,2,0
v7,52,15,4,3,1,0
v7,52,16,5,3,2,0
v7,52,17,5,3,2,0
v7,52,18,5,3,2,0
v7,52,19,3,1,2,0
v7,52,20,4,2,2,0
v7,52,21,4,2,2,0
v7,52,22,4,2,2,0
v7,52,23,4,4,0,0
v7,52,24,3,1,2,0
v7,52,25,3,1,2,0
v7,52,26,5,3,2,0
v7,52,27,5,3,2,0
v7,52,28,2,0,2,0
v7,52,29,6,4,2,0
v7,53,0,2,1,1,0
v7,53,1,1,1,0,0
v7,53,2,0,0,0,0
v7,53,3,3,2,1,0
v7,53,4,3,1,2,0
v7,53,5,2,1,1,0
v7,53,6,0,0,0,0
v7,53,7,3,2,0,1
v7,53,8,0,0,0,0
v7,53,9,1,1,0,0
v7,53,10,4,3,1,0
v7,53,11,0,0,0,0
v7,53,12,2,2,0,0
v7,53,13,0,0,0,0
v7,53,14,1,0,0,1
v7,53,15,4,1,2,1
v7,53,16,5,3,2,0
v7,53,17,4,3,1,0
v7,53,18,1,0,1,0
v7,53,19,2,1,1,0
v7,53,20,1,1,0,0
v7,53,21,1,1,0,0
v7,53,22,0,0,0,0
v7,53,23,0,0,0,0
v7,53,24,1,1,0,0
v7,53,25,0,0,0,0
v7,53,26,4,3,1,0
v7,53,27,0,0,0,0
v7,53,28,1,0,0,1
v7,53,29,2,1,1,0
v7,54,0,0,0,0,0
v7,54,1,1,1,0,0
v7,54,2,3,1,2,0
v7,54,3,5,3,2,0
v7,54,4,1,1,0,0
v7,54,5,2,1,1,0
v7,54,6,5,2,0,3
v7,54,7,2,1,1,0
v7,54,8,4,1,3,0
v7,54,9,3,1,2,0
v7,54,10,3,2,1,0
v7,54,11,1,0,1,0
v7,54,12,2,1,1,0
v7,54,13,2,1,1,0
v7,54,14,1,0,1,0
v7,54,15,4,2,2,0
v7,54,16,4,2,2,0
v7,54,17,4,2,2,0
v7,54,18,3,1,2,0
v7,54,19,2,1,1,0
v7,54,20,4,2,2,0
v7,54,21,2,1,1,0
v7,54,22,3,2,1,0
v7,54,23,1,1,0,0
v7,54,24,1,1,0,0
v7,54,25,3,1,2,0
v7,54,26,3,1,2,0
v7,54,27,3,2,1,0
v7,54,28,0,0,0,0
